,grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,Moves,sVGC,heu_graph,heu_sr,heu_traj,new_sVGC,new_dVGC,spotlightsVGC,VORsVGC
0,grid-000-l,obs-0,R,L,9,8,6,8,1,0.010614065,21,4.54E-05,0.34,0.012695439,7.895,4.54E-05,0.009838608,6.84E-08,1.30E-05
1,grid-000-l,obs-1,L,L,15,2,3,5,1,0.280230698,21,1,3.65,1.437514375,8.503,1,0.23954345,1,1
2,grid-000-l,obs-2,R,L,10,8,1,2,1,0.009063151,21,4.54E-05,0.86,1.061534053,12.932,0.25003405,0.036398003,0.000123395,0.017989073
3,grid-000-l,obs-3,L,U,8,10,2,4,1,0.506130955,21,1,2.62,0.626959395,5.257,1,0.352493578,1,1
4,grid-000-l,obs-4,R,NaN,5,13,1,3,1,0.116851645,21,1,0.5,0.820625882,21.333,0.5000227,0.062957398,1,1
5,grid-000-l,obs-5,L,U,12,6,2,4,1,0.198856201,21,1,2.95,0.187501875,5.567,1,0.296018514,1,1
6,grid-001-l,obs-0,L,NaN,7,5,3,5,1,0.207715653,18,1,1,0.015625156,5.529,0.751671801,0.261672698,1,1
7,grid-001-l,obs-1,L,L,3,8,4,6,1,0.27191549,18,0.006687203,1,0.385746045,0.496,0.503343602,0.239815572,1.62E-06,0.000240108
8,grid-001-l,obs-2,R,L,4,13,2,4,1,0.012314696,18,4.54E-05,0,0,0,4.54E-05,0.012314696,3.97E-15,1.44E-11
9,grid-001-l,obs-3,R,U,10,5,4,6,1,0.010972336,18,4.54E-05,0,0,0,4.54E-05,0.011672698,9.36E-14,1.49E-11
10,grid-001-l,obs-4,L,U,9,2,3,5,1,0.359343994,18,1,5,1.2500125,29.571,1,0.283529824,1,1
11,grid-001-l,obs-5,R,U,8,8,2,4,1,0.012373059,18,4.54E-05,0,0,0,4.54E-05,0.011672698,1.39E-11,2.09E-09
12,grid-002-l,obs-0,L,U,4,7,3,5,1,0.473290065,15,1,1.76,0.812508125,3.81,1,0.414521076,1,1
13,grid-002-l,obs-1,L,L,14,2,6,8,1,0.0125526,15,4.54E-05,0,0,0,0.5000227,0.184152343,5.76E-08,6.15E-06
14,grid-002-l,obs-2,R,L,10,8,6,8,1,0.014264318,15,4.54E-05,0,0,0,4.54E-05,0.01390771,4.95E-13,6.21E-09
15,grid-002-l,obs-3,R,NaN,5,9,2,4,1,0.013551102,15,4.54E-05,0,0,0,0.008637316,0.038460167,5.09E-09,5.22E-05
16,grid-002-l,obs-4,L,L,8,2,1,2,1,0.355752086,15,1,2.92,2.00002,7.417,0.758603266,0.324317096,1,1
17,grid-002-l,obs-5,R,U,2,8,1,2,1,0.112474146,15,0.034413062,0.68,0,0.018,0.017229231,0.063012624,0.006686432,0.499783239
18,grid-003-l,obs-0,L,L,5,4,1,2,1,0.445887446,21,1,5,2.00002,66.461,0.999988604,0.358449022,1,1
19,grid-003-l,obs-1,R,L,14,7,6,8,1,0.009503906,21,4.54E-05,0,0,0,4.54E-05,0.009503906,1.39E-11,2.06E-09
20,grid-003-l,obs-2,R,U,7,14,4,6,1,0.009802458,21,4.54E-05,0,0,0,4.54E-05,0.009454148,1.14E-12,1.69E-10
21,grid-003-l,obs-3,L,NaN,5,6,3,5,1,0.387122456,21,1,2,0,25.284,0.999988604,0.343757775,1,1
22,grid-003-l,obs-4,L,L,8,1,4,6,1,0.154898741,21,0.999954416,6,2.00002,67.084,0.999977208,0.285701846,0.999758701,0.999998374
23,grid-003-l,obs-5,R,U,4,14,4,6,1,0.009105837,21,4.54E-05,0,0,0,4.54E-05,0.009454148,2.62E-12,3.89E-10
24,grid-004-l,obs-0,R,L,1,11,1,2,1,0.070838471,17,0.000552551,0.21,0.17114429,0.246,0.250287626,0.222595561,2.51E-08,3.73E-06
25,grid-004-l,obs-1,L,U,10,2,3,5,1,0.06837238,17,0.006687452,4.63,1.12501125,19.568,0.006687452,0.06837238,1.09E-08,1.62E-06
26,grid-004-l,obs-2,L,L,5,6,1,3,1,0.736806412,17,1,3.76,2.001973145,10.615,0.750138138,0.570083231,1,1
27,grid-004-l,obs-3,R,NaN,6,12,1,3,1,0.01189889,17,4.54E-05,0,0,0,0.000172188,0.025816893,3.98E-15,1.50E-11
28,grid-004-l,obs-4,R,U,8,7,3,5,1,0.008631319,17,4.54E-05,0,0,0,4.54E-05,0.010265105,1.83E-17,4.65E-13
29,grid-004-l,obs-5,L,L,4,8,5,7,1,0.735881628,17,1,3.12,0.1337904,10.072,1,0.73634402,1,1
