,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,Moves,sVGC
0,grid-000-l,obs-0,9,8,6,8,1,0.010614064847574226,21,4.539786870243439e-05
1,grid-000-l,obs-1,15,2,3,5,1,0.2802306983957726,21,1.0
2,grid-000-l,obs-2,10,8,1,2,1,0.00906315126254055,21,4.539786870243439e-05
3,grid-000-l,obs-3,8,10,2,4,1,0.5061309552658346,21,1.0
4,grid-000-l,obs-4,5,13,1,3,1,0.11685164542238119,21,1.0
5,grid-000-l,obs-5,12,6,2,4,1,0.19885620123103687,21,1.0
6,grid-001-l,obs-0,7,5,3,5,1,0.20771565308742806,18,0.9999999999999997
7,grid-001-l,obs-1,3,8,4,6,1,0.27191548966966195,18,0.00668720283681836
8,grid-001-l,obs-2,4,13,2,4,1,0.012314695926228528,18,4.539786870243437e-05
9,grid-001-l,obs-3,10,5,4,6,1,0.010972335706781813,18,4.539786870243437e-05
10,grid-001-l,obs-4,9,2,3,5,1,0.3593439943971042,18,0.9999999999999997
11,grid-001-l,obs-5,8,8,2,4,1,0.012373059414030555,18,4.539786870243437e-05
12,grid-002-l,obs-0,4,7,3,5,1,0.47329006490264636,15,0.9999999999999997
13,grid-002-l,obs-1,14,2,6,8,1,0.01255259967192072,15,4.539786870243438e-05
14,grid-002-l,obs-2,10,8,6,8,1,0.014264317809000815,15,4.539786870243438e-05
15,grid-002-l,obs-3,5,9,2,4,1,0.01355110191855078,15,4.539786870243438e-05
16,grid-002-l,obs-4,8,2,1,2,1,0.3557520861564798,15,0.9999999999999997
17,grid-002-l,obs-5,2,8,1,2,1,0.11247414592397144,15,0.03441306186950741
18,grid-003-l,obs-0,5,4,1,2,1,0.44588744588744433,21,1.0000000000000002
19,grid-003-l,obs-1,14,7,6,8,1,0.009503906055630182,21,4.5397868702434395e-05
20,grid-003-l,obs-2,7,14,4,6,1,0.009802458078320128,21,4.53978687024344e-05
21,grid-003-l,obs-3,5,6,3,5,1,0.38712245608797197,21,1.0000000000000002
22,grid-003-l,obs-4,8,1,4,6,1,0.15489874110563734,21,0.9999544156427649
23,grid-003-l,obs-5,4,14,4,6,1,0.009105836692043576,21,4.53978687024344e-05
24,grid-004-l,obs-0,1,11,1,2,1,0.07083847102342787,17,0.0005525508502072495
25,grid-004-l,obs-1,10,2,3,5,1,0.06837237977805177,17,0.006687451943922978
26,grid-004-l,obs-2,5,6,1,3,1,0.7368064118372376,17,0.9999999999999997
27,grid-004-l,obs-3,6,12,1,3,1,0.011898890258939579,17,4.539786870243437e-05
28,grid-004-l,obs-4,8,7,3,5,1,0.008631319358816274,17,4.539786870243437e-05
29,grid-004-l,obs-5,4,8,5,7,1,0.7358816276202218,17,0.9999999999999997
30,grid-005-l,obs-0,8,4,2,4,1,0.3822987528344675,15,0.993292148757279
31,grid-005-l,obs-1,9,3,3,5,1,0.29464285714285726,15,0.9999999999999996
32,grid-005-l,obs-2,4,13,1,3,1,0.011692176870748307,15,4.5397868702434395e-05
33,grid-005-l,obs-3,3,17,5,7,1,0.01169217687074831,15,4.5397868702434395e-05
34,grid-005-l,obs-4,2,9,4,6,1,0.2945011337868485,15,0.07578280427200895
35,grid-005-l,obs-5,11,9,3,5,1,0.012684240362811804,15,4.5397868702434395e-05
36,grid-006-l,obs-0,10,8,2,4,1,0.01357409713574096,17,4.539786870243381e-05
37,grid-006-l,obs-1,10,4,6,8,1,0.04533001245330012,17,0.7769859714857191
38,grid-006-l,obs-2,14,2,4,6,1,0.011581569115815683,17,4.5397868702434395e-05
