SubjectCode,Experiment,Handiness,Trial_Number,MazeID,Lateralized,Side,Moves,Solution_RT,Obs_No,sVGC_Obs,dVGC_Obs,Orig_RandPos,Aware_ReportObs,Subj_RT,Time_Trial,toremove
S000,VGC_lat_behav,2,1,22,1,1,25,20.012185,1,0.100731,0.366041,5,3,15.188676,45.17765,0
S000,VGC_lat_behav,2,1,22,1,1,25,20.012185,2,4.50E-05,0.008502,5,3,15.188676,45.17765,0
S000,VGC_lat_behav,2,1,22,1,1,25,20.012185,3,1,0.325606,5,6,15.188676,45.17765,0
S000,VGC_lat_behav,2,1,22,1,1,25,20.012185,4,1,0.256846,5,6,15.188676,45.17765,0
S000,VGC_lat_behav,2,1,22,1,1,25,20.012185,5,1,0.203707,5,3,15.188676,45.17765,0
S000,VGC_lat_behav,2,1,22,1,1,25,20.012185,6,0.006686,0.192338,5,3,15.188676,45.17765,0
S000,VGC_lat_behav,2,2,16,1,2,20,5.77275,1,1,0.445887,5,3,12.236073,27.837536,0
S000,VGC_lat_behav,2,2,16,1,2,20,5.77275,2,4.50E-05,0.009504,5,2,12.236073,27.837536,0
S000,VGC_lat_behav,2,2,16,1,2,20,5.77275,3,4.50E-05,0.009802,5,6,12.236073,27.837536,0
S000,VGC_lat_behav,2,2,16,1,2,20,5.77275,4,1,0.387122,5,3,12.236073,27.837536,0
S000,VGC_lat_behav,2,2,16,1,2,20,5.77275,5,0.999954,0.154899,5,6,12.236073,27.837536,0
S000,VGC_lat_behav,2,2,16,1,2,20,5.77275,6,4.50E-05,0.009106,5,7,12.236073,27.837536,0
S000,VGC_lat_behav,2,3,23,1,2,15,7.521447,1,4.50E-05,0.011227,5,3,12.894581,30.225045,0
S000,VGC_lat_behav,2,3,23,1,2,15,7.521447,2,4.50E-05,0.012919,5,5,12.894581,30.225045,0
S000,VGC_lat_behav,2,3,23,1,2,15,7.521447,3,1,0.465857,5,7,12.894581,30.225045,0
S000,VGC_lat_behav,2,3,23,1,2,15,7.521447,4,4.50E-05,0.01315,5,2,12.894581,30.225045,0
S000,VGC_lat_behav,2,3,23,1,2,15,7.521447,5,4.50E-05,0.011689,5,7,12.894581,30.225045,0
S000,VGC_lat_behav,2,3,23,1,2,15,7.521447,6,4.50E-05,0.011458,5,2,12.894581,30.225045,0
S000,VGC_lat_behav,2,4,11,0,2,17,7.834898,1,0.006687,0.109513,5,2,10.138881,27.721473,0
S000,VGC_lat_behav,2,4,11,0,2,17,7.834898,2,1,0.120128,5,3,10.138881,27.721473,0
S000,VGC_lat_behav,2,4,11,0,2,17,7.834898,3,4.50E-05,0.011137,5,3,10.138881,27.721473,0
S000,VGC_lat_behav,2,4,11,0,2,17,7.834898,4,1,0.308759,5,8,10.138881,27.721473,0
S000,VGC_lat_behav,2,4,11,0,2,17,7.834898,5,4.50E-05,0.010673,5,2,10.138881,27.721473,0
S000,VGC_lat_behav,2,4,11,0,2,17,7.834898,6,1,0.130104,5,6,10.138881,27.721473,0
S000,VGC_lat_behav,2,5,8,1,2,16,5.708221,1,1,0.434939,5,7,8.752818,24.230441,0
S000,VGC_lat_behav,2,5,8,1,2,16,5.708221,2,0.999954,0.179027,5,2,8.752818,24.230441,0
S000,VGC_lat_behav,2,5,8,1,2,16,5.708221,3,4.50E-05,0.010833,5,2,8.752818,24.230441,0
S000,VGC_lat_behav,2,5,8,1,2,16,5.708221,4,4.50E-05,0.01009,5,2,8.752818,24.230441,0
S000,VGC_lat_behav,2,5,8,1,2,16,5.708221,5,1,0.652222,5,7,8.752818,24.230441,0
S000,VGC_lat_behav,2,5,8,1,2,16,5.708221,6,4.50E-05,0.011886,5,2,8.752818,24.230441,0
S000,VGC_lat_behav,2,6,10,1,2,20,5.660038,1,0.100731,0.366041,5,3,10.391023,25.63763,0
S000,VGC_lat_behav,2,6,10,1,2,20,5.660038,2,4.50E-05,0.008502,5,2,10.391023,25.63763,0
S000,VGC_lat_behav,2,6,10,1,2,20,5.660038,3,1,0.325606,5,7,10.391023,25.63763,0
S000,VGC_lat_behav,2,6,10,1,2,20,5.660038,4,1,0.256846,5,7,10.391023,25.63763,0
S000,VGC_lat_behav,2,6,10,1,2,20,5.660038,5,1,0.203707,5,2,10.391023,25.63763,0
S000,VGC_lat_behav,2,6,10,1,2,20,5.660038,6,0.006686,0.192338,5,6,10.391023,25.63763,0
S000,VGC_lat_behav,2,7,1,0,1,18,5.169983,1,4.50E-05,0.009394,5,2,9.985387,24.875935,1
S000,VGC_lat_behav,2,7,1,0,1,18,5.169983,2,4.50E-05,0.011198,5,3,9.985387,24.875935,1
S000,VGC_lat_behav,2,7,1,0,1,18,5.169983,3,1,0.273298,5,6,9.985387,24.875935,1
S000,VGC_lat_behav,2,7,1,0,1,18,5.169983,4,1,0.446809,5,7,9.985387,24.875935,1
S000,VGC_lat_behav,2,7,1,0,1,18,5.169983,5,1,0.872278,5,7,9.985387,24.875935,1
S000,VGC_lat_behav,2,7,1,0,1,18,5.169983,6,4.50E-05,0.007465,5,3,9.985387,24.875935,1
S000,VGC_lat_behav,2,8,17,1,1,16,5.881964,1,0.000553,0.070838,5,6,11.238644,26.927669,0
S000,VGC_lat_behav,2,8,17,1,1,16,5.881964,2,0.006687,0.068372,5,7,11.238644,26.927669,0
S000,VGC_lat_behav,2,8,17,1,1,16,5.881964,3,1,0.736806,5,8,11.238644,26.927669,0
S000,VGC_lat_behav,2,8,17,1,1,16,5.881964,4,4.50E-05,0.011899,5,1,11.238644,26.927669,0
S000,VGC_lat_behav,2,8,17,1,1,16,5.881964,5,4.50E-05,0.008631,5,2,11.238644,26.927669,0
S000,VGC_lat_behav,2,8,17,1,1,16,5.881964,6,1,0.735882,5,7,11.238644,26.927669,0
S000,VGC_lat_behav,2,9,24,0,2,18,5.783542,1,4.50E-05,0.011218,5,6,8.608894,24.004376,0
S000,VGC_lat_behav,2,9,24,0,2,18,5.783542,2,4.50E-05,0.013263,5,7,8.608894,24.004376,0
S000,VGC_lat_behav,2,9,24,0,2,18,5.783542,3,0.923994,0.596033,5,7,8.608894,24.004376,0
S000,VGC_lat_behav,2,9,24,0,2,18,5.783542,4,4.50E-05,0.01097,5,3,8.608894,24.004376,0
S000,VGC_lat_behav,2,9,24,0,2,18,5.783542,5,0.006688,0.116889,5,2,8.608894,24.004376,0
S000,VGC_lat_behav,2,9,24,0,2,18,5.783542,6,1,0.316083,5,3,8.608894,24.004376,0
S000,VGC_lat_behav,2,10,24,1,2,13,4.949439,1,4.50E-05,0.009357,5,2,9.641142,24.361217,0
S000,VGC_lat_behav,2,10,24,1,2,13,4.949439,2,4.50E-05,0.00928,5,2,9.641142,24.361217,0
S000,VGC_lat_behav,2,10,24,1,2,13,4.949439,3,0.999446,0.587238,5,8,9.641142,24.361217,0
S000,VGC_lat_behav,2,10,24,1,2,13,4.949439,4,4.50E-05,0.013651,5,2,9.641142,24.361217,0
S000,VGC_lat_behav,2,10,24,1,2,13,4.949439,5,0.499675,0.011811,5,2,9.641142,24.361217,0
S000,VGC_lat_behav,2,10,24,1,2,13,4.949439,6,1,0.309763,5,7,9.641142,24.361217,0
S000,VGC_lat_behav,2,11,24,0,1,18,5.69004,1,4.50E-05,0.011218,5,6,10.478415,25.940915,0
S000,VGC_lat_behav,2,11,24,0,1,18,5.69004,2,4.50E-05,0.013263,5,6,10.478415,25.940915,0
S000,VGC_lat_behav,2,11,24,0,1,18,5.69004,3,0.923994,0.596033,5,6,10.478415,25.940915,0
S000,VGC_lat_behav,2,11,24,0,1,18,5.69004,4,4.50E-05,0.01097,5,6,10.478415,25.940915,0
S000,VGC_lat_behav,2,11,24,0,1,18,5.69004,5,0.006688,0.116889,5,6,10.478415,25.940915,0
S000,VGC_lat_behav,2,11,24,0,1,18,5.69004,6,1,0.316083,5,2,10.478415,25.940915,0
S000,VGC_lat_behav,2,12,12,1,1,15,3.640683,1,4.50E-05,0.009357,5,1,11.785889,25.274718,0
S000,VGC_lat_behav,2,12,12,1,1,15,3.640683,2,4.50E-05,0.00928,5,1,11.785889,25.274718,0
S000,VGC_lat_behav,2,12,12,1,1,15,3.640683,3,0.999446,0.587238,5,7,11.785889,25.274718,0
S000,VGC_lat_behav,2,12,12,1,1,15,3.640683,4,4.50E-05,0.013651,5,4,11.785889,25.274718,0
S000,VGC_lat_behav,2,12,12,1,1,15,3.640683,5,0.499675,0.011811,5,7,11.785889,25.274718,0
S000,VGC_lat_behav,2,12,12,1,1,15,3.640683,6,1,0.309763,5,7,11.785889,25.274718,0
S000,VGC_lat_behav,2,13,16,0,2,22,5.871193,1,0.776937,0.277952,5,7,9.331066,24.943751,0
S000,VGC_lat_behav,2,13,16,0,2,22,5.871193,2,4.50E-05,0.012442,5,6,9.331066,24.943751,0
S000,VGC_lat_behav,2,13,16,0,2,22,5.871193,3,4.50E-05,0.012992,5,3,9.331066,24.943751,0
S000,VGC_lat_behav,2,13,16,0,2,22,5.871193,4,0.006687,0.126397,5,7,9.331066,24.943751,0
S000,VGC_lat_behav,2,13,16,0,2,22,5.871193,5,1,0.860941,5,8,9.331066,24.943751,0
S000,VGC_lat_behav,2,13,16,0,2,22,5.871193,6,4.50E-05,0.010074,5,2,9.331066,24.943751,0
S000,VGC_lat_behav,2,14,3,1,1,16,4.959409,1,1,0.47329,5,2,9.582499,24.407358,0
S000,VGC_lat_behav,2,14,3,1,1,16,4.959409,2,4.50E-05,0.012553,5,3,9.582499,24.407358,0
S000,VGC_lat_behav,2,14,3,1,1,16,4.959409,3,4.50E-05,0.014264,5,1,9.582499,24.407358,0
S000,VGC_lat_behav,2,14,3,1,1,16,4.959409,4,4.50E-05,0.013551,5,7,9.582499,24.407358,0
S000,VGC_lat_behav,2,14,3,1,1,16,4.959409,5,1,0.355752,5,8,9.582499,24.407358,0
S000,VGC_lat_behav,2,14,3,1,1,16,4.959409,6,0.034413,0.112474,5,6,9.582499,24.407358,0
S000,VGC_lat_behav,2,15,9,0,1,19,4.941528,1,1,0.257614,5,3,11.77378,26.592428,0
S000,VGC_lat_behav,2,15,9,0,1,19,4.941528,2,4.50E-05,0.009587,5,2,11.77378,26.592428,0
S000,VGC_lat_behav,2,15,9,0,1,19,4.941528,3,4.50E-05,0.010814,5,7,11.77378,26.592428,0
S000,VGC_lat_behav,2,15,9,0,1,19,4.941528,4,1,0.217455,5,7,11.77378,26.592428,0
S000,VGC_lat_behav,2,15,9,0,1,19,4.941528,5,4.50E-05,0.008476,5,2,11.77378,26.592428,0
S000,VGC_lat_behav,2,15,9,0,1,19,4.941528,6,1,0.616707,5,7,11.77378,26.592428,0
S000,VGC_lat_behav,2,16,2,0,2,16,5.753828,1,4.50E-05,0.005552,5,2,7.535337,23.178364,0
S000,VGC_lat_behav,2,16,2,0,2,16,5.753828,2,0.993291,0.733516,5,7,7.535337,23.178364,0
S000,VGC_lat_behav,2,16,2,0,2,16,5.753828,3,1,0.838064,5,7,7.535337,23.178364,0
S000,VGC_lat_behav,2,16,2,0,2,16,5.753828,4,1,0.522737,5,7,7.535337,23.178364,0
