,grid,obstacle,heu_graph,heu_sr,heu_traj
0,grid-000-l,obs-0,0.34,0.012695439454394546,7.895
1,grid-000-l,obs-1,3.65,1.4375143751437514,8.503
2,grid-000-l,obs-2,0.86,1.0615340528405286,12.932
3,grid-000-l,obs-3,2.62,0.6269593945939459,5.257
4,grid-000-l,obs-4,0.5,0.8206258820400706,21.333
5,grid-000-l,obs-5,2.95,0.1875018750187502,5.567
6,grid-001-l,obs-0,1.0,0.015625156251562515,5.529
7,grid-001-l,obs-1,1.0,0.38574604496044956,0.496
8,grid-001-l,obs-2,0.0,0.0,0.0
9,grid-001-l,obs-3,0.0,0.0,0.0
10,grid-001-l,obs-4,5.0,1.2500125001250013,29.571
11,grid-001-l,obs-5,0.0,0.0,0.0
12,grid-002-l,obs-0,1.76,0.812508125081251,3.81
13,grid-002-l,obs-1,0.0,0.0,0.0
14,grid-002-l,obs-2,0.0,0.0,0.0
15,grid-002-l,obs-3,0.0,0.0,0.0
16,grid-002-l,obs-4,2.92,2.000020000200002,7.417
17,grid-002-l,obs-5,0.68,0.0,0.018
18,grid-003-l,obs-0,0.0,0.0,0.0
19,grid-003-l,obs-1,0.0,0.0,0.0
20,grid-003-l,obs-2,2.0,1.000010000100001,5.0
21,grid-003-l,obs-3,0.0,0.0,0.0
22,grid-003-l,obs-4,0.0,0.0,0.0
23,grid-003-l,obs-5,0.0,0.0,0.0
24,grid-004-l,obs-0,0.0,0.0,0.0
25,grid-004-l,obs-1,0.0,0.0,0.0
26,grid-004-l,obs-2,4.0,2.000020000200002,13.161
27,grid-004-l,obs-3,0.0,0.0,0.0
28,grid-004-l,obs-4,0.0,0.0,0.0
29,grid-004-l,obs-5,2.94,0.12500125001250012,8.214
30,grid-005-l,obs-0,1.39,0.2031270312703127,1.494
31,grid-005-l,obs-1,3.5,1.062510625106251,11.733
32,grid-005-l,obs-2,0.0,0.0,0.0
33,grid-005-l,obs-3,0.0,0.0,0.0
34,grid-005-l,obs-4,0.0,0.01953144531445315,0.0
35,grid-005-l,obs-5,0.0,0.0,0.0
36,grid-006-l,obs-0,0.0,0.0,0.0
37,grid-006-l,obs-1,1.48,0.21875218752187522,1.243
38,grid-006-l,obs-2,0.0,0.0,0.0
39,grid-006-l,obs-3,2.42,1.6718917189171891,5.095
40,grid-006-l,obs-4,0.0,0.0,0.0
41,grid-006-l,obs-5,0.09,0.28222938479384796,0.064
42,grid-007-l,obs-0,4.61,1.9687696876968768,17.361
43,grid-007-l,obs-1,0.0,0.0,0.0
44,grid-007-l,obs-2,0.0,0.0,0.0
45,grid-007-l,obs-3,0.0,0.0,0.0
46,grid-007-l,obs-4,0.0,0.0,0.0
47,grid-007-l,obs-5,0.0,0.0,0.0
48,grid-008-l,obs-0,1.0,0.5000050000500005,1.0
49,grid-008-l,obs-1,0.0,0.0,0.0
50,grid-008-l,obs-2,0.0,0.0,0.0
51,grid-008-l,obs-3,0.0,0.7500075000750007,0.0
52,grid-008-l,obs-4,0.0,0.0,0.0
53,grid-008-l,obs-5,0.0,0.0,0.0
54,grid-009-l,obs-0,0.72,0.0,0.788
55,grid-009-l,obs-1,0.0,0.0,0.0
56,grid-009-l,obs-2,4.0,1.5000150001500014,72.427
57,grid-009-l,obs-3,6.0,0.0,54.695
58,grid-009-l,obs-4,1.0,0.0,16.791
59,grid-009-l,obs-5,0.52,0.0,0.503
60,grid-010-l,obs-0,0.0,0.0,0.0
61,grid-010-l,obs-1,1.02,0.0,2.0
62,grid-010-l,obs-2,7.0,1.484389843898439,39.36
63,grid-010-l,obs-3,0.06,0.0,1.536
64,grid-010-l,obs-4,4.46,3.000030000300003,16.232
65,grid-010-l,obs-5,0.0,0.0,0.0
66,grid-011-l,obs-0,0.0,0.0,0.0
67,grid-011-l,obs-1,0.0,0.0,0.0
68,grid-011-l,obs-2,2.23,0.7343823438234383,1.688
69,grid-011-l,obs-3,0.0,0.0,0.0
70,grid-011-l,obs-4,0.0,0.0,0.0
71,grid-011-l,obs-5,1.38,0.7500075000750007,4.4
