,grid,obstacle,heu_graph,heu_sr,heu_traj
0,grid-000-n,obs-0,4.0,2.093770937709377,78.021
1,grid-000-n,obs-1,3.0,0.0,69.674
2,grid-000-n,obs-2,5.0,0.0,140.714
3,grid-000-n,obs-3,5.0,0.0,26.005
4,grid-000-n,obs-4,5.0,0.1435561230612306,19.271
5,grid-000-n,obs-5,5.0,0.12500125001250012,91.213
6,grid-001-n,obs-0,0.0,0.15625156251562516,0.0
7,grid-001-n,obs-1,1.0,0.058594335943359444,0.0
8,grid-001-n,obs-2,5.0,1.8261901369013689,18.245
9,grid-001-n,obs-3,4.0,1.6250162501625016,56.173
10,grid-001-n,obs-4,1.88,1.0560713517291425,4.835
11,grid-001-n,obs-5,4.0,0.25000250002500024,32.204
12,grid-002-n,obs-0,3.0,1.000010000100001,59.895
13,grid-002-n,obs-1,5.0,1.000010000100001,76.506
14,grid-002-n,obs-2,0.0,0.0,0.0
15,grid-002-n,obs-3,1.47,0.0,1.26
16,grid-002-n,obs-4,0.25,2.000020000200002,0.195
17,grid-002-n,obs-5,5.0,0.0,13.636
18,grid-003-n,obs-0,6.0,0.0,26.089
19,grid-003-n,obs-1,2.34,1.000010000100001,17.281
20,grid-003-n,obs-2,0.29,1.000010000100001,49.813
21,grid-003-n,obs-3,0.56,0.0,0.497
22,grid-003-n,obs-4,1.0,0.0,1.0
23,grid-003-n,obs-5,3.29,2.000020000200002,54.378
24,grid-004-n,obs-0,4.0,0.0,13.518
25,grid-004-n,obs-1,4.0,1.1250112501125011,21.718
26,grid-004-n,obs-2,0.0,0.0,0.0
27,grid-004-n,obs-3,0.0,0.0,0.0
28,grid-004-n,obs-4,0.0,0.0,0.0
29,grid-004-n,obs-5,2.0,1.0058694336943368,2.0
30,grid-005-n,obs-0,5.0,0.0,69.424
31,grid-005-n,obs-1,0.0,0.0,0.0
32,grid-005-n,obs-2,3.26,0.0,5.777
33,grid-005-n,obs-3,0.0,1.000010000100001,0.0
34,grid-005-n,obs-4,0.78,0.0,0.0
35,grid-005-n,obs-5,3.0,1.000010000100001,59.175
36,grid-006-n,obs-0,0.84,0.0,0.0
37,grid-006-n,obs-1,0.74,0.0,2.105
38,grid-006-n,obs-2,3.0,2.0312703127031266,56.142
39,grid-006-n,obs-3,5.0,0.015625156251562515,19.217
40,grid-006-n,obs-4,2.0,0.0,12.555
41,grid-006-n,obs-5,2.0,0.0,13.51
42,grid-007-n,obs-0,1.13,0.0,4.56
43,grid-007-n,obs-1,0.0,0.714850898508985,0.0
44,grid-007-n,obs-2,6.0,0.0,33.808
45,grid-007-n,obs-3,3.0,0.0,32.199
46,grid-007-n,obs-4,2.39,0.0,13.174
47,grid-007-n,obs-5,4.0,1.5625156251562515,59.216
48,grid-008-n,obs-0,4.0,1.000010000100001,91.767
49,grid-008-n,obs-1,0.44,0.0,0.513
50,grid-008-n,obs-2,0.0,0.0,0.0
51,grid-008-n,obs-3,4.0,0.0,39.509
52,grid-008-n,obs-4,3.0,0.0,45.509
53,grid-008-n,obs-5,6.0,0.0,12.788
54,grid-009-t,obs-0,4.0,2.000020000200002,55.768
55,grid-009-t,obs-1,0.0,0.0,0.0
56,grid-009-t,obs-2,0.0,0.0,0.0
57,grid-009-t,obs-3,3.17,0.0,12.355
58,grid-009-t,obs-4,4.0,1.187511875118751,49.064
59,grid-009-t,obs-5,6.0,0.0,18.25
60,grid-010-n,obs-0,0.0,0.0,0.571
61,grid-010-n,obs-1,3.0,1.000010000100001,56.532
62,grid-010-n,obs-2,3.0,1.000010000100001,7.96
63,grid-010-n,obs-3,2.6,0.0,19.095
64,grid-010-n,obs-4,3.0,0.0,21.327
65,grid-010-n,obs-5,0.65,0.0,0.0
66,grid-011-n,obs-0,2.32,0.4091837793377934,69.246
67,grid-011-n,obs-1,5.0,1.3867326173261731,52.676
68,grid-011-n,obs-2,7.0,0.39795319828198283,63.099
69,grid-011-n,obs-3,6.0,1.0412091425601755,32.4
70,grid-011-n,obs-4,4.0,1.5000150001500014,40.418
71,grid-011-n,obs-5,2.41,0.5824032849703498,46.874
