,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,sVGC
0,grid-000-l,obs-0,3,14,2,4,1,0.8676617329120242,1.0
1,grid-000-l,obs-1,15,2,3,5,1,0.005612838849160156,4.539786870243439e-05
2,grid-000-l,obs-2,10,8,2,4,1,0.5185847330783304,1.0
3,grid-000-l,obs-3,7,10,4,6,1,0.005404955928820891,4.539786870243439e-05
4,grid-000-l,obs-4,2,16,4,6,1,0.891776151671379,1.0
5,grid-000-l,obs-5,13,4,3,5,1,0.005612838849160155,4.539786870243439e-05
6,grid-001-l,obs-0,5,5,1,3,1,0.4330775788576288,0.9999999999999998
7,grid-001-l,obs-1,9,1,4,6,1,0.14872833191247486,0.9999999979205285
8,grid-001-l,obs-2,17,10,5,7,1,0.008880363739698765,4.5397868702431826e-05
9,grid-001-l,obs-3,7,17,5,7,1,0.010798522307473695,4.5397868702431826e-05
10,grid-001-l,obs-4,2,10,4,6,1,0.8417519181585655,0.9999999999999998
11,grid-001-l,obs-5,10,16,4,6,1,0.16865586814435896,0.006683551228313899
12,grid-002-l,obs-0,6,6,1,3,1,0.595595232700412,1.0
13,grid-002-l,obs-1,8,2,4,6,1,0.32174740562831333,1.0
14,grid-002-l,obs-2,17,9,5,7,1,0.008836724520777625,4.5397868702433094e-05
15,grid-002-l,obs-3,8,16,4,6,1,0.01083065210495309,4.5397868702433094e-05
16,grid-002-l,obs-4,1,8,4,6,1,0.8384012326097787,1.0
17,grid-002-l,obs-5,14,10,2,4,1,0.008383559160737747,4.5397868702433094e-05
18,grid-003-l,obs-0,9,5,2,4,1,0.008557370034942597,4.5397868702434374e-05
19,grid-003-l,obs-1,8,2,5,7,1,0.29030877843542796,0.9999999999999993
20,grid-003-l,obs-2,4,6,1,3,1,0.7124723668259288,0.9999999999999993
21,grid-003-l,obs-3,8,10,1,3,1,0.008200812950153322,4.539786870243438e-05
22,grid-003-l,obs-4,6,12,3,5,1,0.009840975540183988,4.5397868702434374e-05
23,grid-003-l,obs-5,2,10,5,7,1,0.807031305712045,0.9999544702999553
24,grid-004-l,obs-0,7,5,1,3,1,0.37938893241222177,0.9999999999999994
25,grid-004-l,obs-1,3,15,3,5,1,0.006694679866106407,4.539786870243437e-05
26,grid-004-l,obs-2,6,13,1,3,1,0.0075493198490136065,4.539786870243437e-05
27,grid-004-l,obs-3,8,4,2,4,1,0.42988391140232207,0.7770249496989775
28,grid-004-l,obs-4,3,8,2,4,1,0.6903354461932928,0.999954468015939
29,grid-004-l,obs-5,9,7,3,5,1,0.0072644398547112065,4.539786870243437e-05
